date,value
2005-12-31,3.3927468454955
2006-12-31,3.22594410070404
2007-12-31,2.85267248150138
2008-12-31,3.839100296651
2009-12-31,-0.355546266299747
2010-12-31,1.6400434423899
2011-12-31,3.156841568622
2012-12-31,2.06933726526067
2013-12-31,1.46483265562717
2014-12-31,1.62222297740817
2015-12-31,0.118627135552451
2016-12-31,1.26158320570536
2017-12-31,2.13011000365961
2018-12-31,2.44258329692817
2019-12-31,1.81221007526021
2020-12-31,1.23358439630629
2021-12-31,4.69785886363742
2022-12-31,8.00279982052121
2023-12-31,4.11633838374488
